Model,CRS,CRS_Rank,Easy_Correct,Easy_Total,Easy_Accuracy,Challenge_Correct,Challenge_Total,Challenge_Accuracy,Gap
"Gemini 3 Pro Preview (high)",1.829,1,48,50,96.0,47,50,94.0,2.0
"Claude Opus 4.5 (Reasoning)",1.623,2,48,50,96.0,48,50,96.0,0.0
"GPT-5.1 (high)",1.600,3,48,50,96.0,47,50,94.0,2.0
"Grok 4",1.553,4,48,50,96.0,47,50,94.0,2.0
"Kimi K2 Thinking",1.533,5,48,50,96.0,47,50,94.0,2.0
"o4-mini (high)",1.401,6,48,50,96.0,45,50,90.0,6.0
"o3",1.391,7,48,50,96.0,47,50,94.0,2.0
"Gemini 2.5 Pro",1.382,8,47,50,94.0,45,50,90.0,4.0
"gpt-oss-120B (high)",1.373,9,48,50,96.0,47,50,94.0,2.0
"Claude 4.5 Sonnet (Reasoning)",1.329,10,48,50,96.0,48,50,96.0,0.0
"Llama 3 Instruct 70B",-1.242,74,45,50,90.0,44,50,88.0,2.0
"Mistral Large",-1.274,75,47,50,94.0,43,50,86.0,8.0
"Mixtral 8x22B Instruct",-1.286,76,47,50,94.0,46,50,92.0,2.0
"Llama 3 Instruct 8B",-1.344,77,44,50,88.0,33,50,66.0,22.0
"Command-R+",-1.398,78,45,50,90.0,42,50,84.0,6.0
"Mixtral 8x7B Instruct",-1.443,79,42,50,84.0,37,50,74.0,10.0
"Llama 3.2 Instruct 1B",-1.457,80,29,50,58.0,21,50,42.0,16.0
"Command-R",-1.498,81,43,50,86.0,41,50,82.0,4.0
"GPT-3.5 Turbo",-1.550,82,38,50,76.0,36,50,72.0,4.0
"Mistral 7B Instruct",-1.687,83,46,50,92.0,45,50,90.0,2.0
