model_name,crs,crs_quartile,bucket,reasoning_score,regression_score,predicted_accuracy
Gemini 3 Pro Preview (high),1.829,Q4 (High),Simple,0.1,1.0840897665641267,74.72671531788563
Gemini 3 Pro Preview (high),1.829,Q4 (High),Medium,0.45,1.3691025448258456,79.72351174856608
Gemini 3 Pro Preview (high),1.829,Q4 (High),Complex,0.75,1.613399211907319,83.38827875796215
o4-mini (high),1.401,Q4 (High),Simple,0.1,1.0204286468083756,73.50560862584301
o4-mini (high),1.401,Q4 (High),Medium,0.45,1.2663415157403999,78.01158325360376
o4-mini (high),1.401,Q4 (High),Complex,0.75,1.477123974824992,81.41377810257404
DeepSeek V3.1 Terminus (Reasoning),1.302,Q4 (High),Simple,0.1,1.005703294341508,73.21784355788353
DeepSeek V3.1 Terminus (Reasoning),1.302,Q4 (High),Medium,0.45,1.2425720253678318,77.60113951806751
DeepSeek V3.1 Terminus (Reasoning),1.302,Q4 (High),Complex,0.75,1.4456023662475377,80.93207110603518
Gemini 2.5 Flash Preview (Reasoning),1.092,Q4 (High),Simple,0.1,0.9744676981996677,72.60091085885418
Gemini 2.5 Flash Preview (Reasoning),1.092,Q4 (High),Medium,0.45,1.1921518942745055,76.71257078747064
Gemini 2.5 Flash Preview (Reasoning),1.092,Q4 (High),Complex,0.75,1.378738348052938,79.87882969811426
Qwen3 32B (Reasoning),0.883,Q4 (High),Simple,0.1,0.9433808429918362,71.97820658081687
Qwen3 32B (Reasoning),0.883,Q4 (High),Medium,0.45,1.1419718590435286,75.80414907205385
Qwen3 32B (Reasoning),0.883,Q4 (High),Complex,0.75,1.3121927299449796,78.7879847618032
Claude 4.5 Haiku (Reasoning),0.874,Q3 (Mid-High),Simple,0.1,0.9420421745857572,71.95119825324713
Claude 4.5 Haiku (Reasoning),0.874,Q3 (Mid-High),Medium,0.45,1.139810996282386,75.76449360036416
Claude 4.5 Haiku (Reasoning),0.874,Q3 (Mid-High),Complex,0.75,1.3093271291652107,78.74005384562074
Kimi K2,0.658,Q3 (Mid-High),Simple,0.1,0.9099141328398642,71.29825913540242
Kimi K2,0.658,Q3 (Mid-High),Medium,0.45,1.087950290014965,74.79955513838999
Kimi K2,0.658,Q3 (Mid-High),Complex,0.75,1.2405527104507654,77.56602068697164
Gemini 2.5 Flash-Lite (Reasoning),0.497,Q3 (Mid-High),Simple,0.1,0.8859668424644533,70.8057169766683
Gemini 2.5 Flash-Lite (Reasoning),0.497,Q3 (Mid-High),Medium,0.45,1.0492948561767481,74.0639469225543
Gemini 2.5 Flash-Lite (Reasoning),0.497,Q3 (Mid-High),Complex,0.75,1.1892902965015724,76.66141102943605
DeepSeek R1 Distill Llama 70B,0.26,Q3 (Mid-High),Simple,0.1,0.8507152411043762,70.07171590915317
DeepSeek R1 Distill Llama 70B,0.26,Q3 (Mid-High),Medium,0.45,0.9923921367999943,72.95601551439599
DeepSeek R1 Distill Llama 70B,0.26,Q3 (Mid-High),Complex,0.75,1.113829475967667,75.28423546096319
GPT-4.1,0.011,Q3 (Mid-High),Simple,0.1,0.813678748536194,69.28928688107695
GPT-4.1,0.011,Q3 (Mid-High),Medium,0.45,0.9326082670750503,71.76041466005245
GPT-4.1,0.011,Q3 (Mid-High),Complex,0.75,1.03454785439407,73.77966417825438
Llama 4 Maverick,-0.216,Q2 (Mid-Low),Simple,0.1,0.7799145565162047,68.56616986190922
Llama 4 Maverick,-0.216,Q2 (Mid-Low),Medium,0.45,0.8781065063217882,70.64296890776957
Llama 4 Maverick,-0.216,Q2 (Mid-Low),Complex,0.75,0.9622710347265743,72.35762736298504
Llama 4 Scout,-0.477,Q2 (Mid-Low),Simple,0.1,0.7410931727399173,67.72348567509766
Llama 4 Scout,-0.477,Q2 (Mid-Low),Medium,0.45,0.8154414862486543,69.32678383014134
Llama 4 Scout,-0.477,Q2 (Mid-Low),Complex,0.75,0.8791686121132861,70.66499074778734
Llama 3.3 Instruct 70B,-0.628,Q2 (Mid-Low),Simple,0.1,0.718633291704594,67.23059876163347
Llama 3.3 Instruct 70B,-0.628,Q2 (Mid-Low),Medium,0.45,0.7791870110339294,68.55048697579615
Llama 3.3 Instruct 70B,-0.628,Q2 (Mid-Low),Complex,0.75,0.8310901990305026,69.65853973179887
GPT-4o,-0.776,Q2 (Mid-Low),Simple,0.1,0.696619633471297,66.74378757630454
GPT-4o,-0.776,Q2 (Mid-Low),Medium,0.45,0.7436528234062518,67.77941111567944
GPT-4o,-0.776,Q2 (Mid-Low),Complex,0.75,0.7839669862076418,68.65344598678365
Nova Lite,-0.9,Q2 (Mid-Low),Simple,0.1,0.6781757576542101,66.33314238745209
Nova Lite,-0.9,Q2 (Mid-Low),Medium,0.45,0.7138809364749544,67.1258137092695
Nova Lite,-0.9,Q2 (Mid-Low),Complex,0.75,0.7444853754641638,67.7975904659576
Llama 3.1 Instruct 70B,-0.913,Q1 (Low),Simple,0.1,0.6762421255120963,66.28994633530436
Llama 3.1 Instruct 70B,-0.913,Q1 (Low),Medium,0.45,0.7107596902644152,67.05690018510487
Llama 3.1 Instruct 70B,-0.913,Q1 (Low),Complex,0.75,0.7403461743378315,67.70715503963005
Llama 3.2 Instruct 90B (Vision),-1.01,Q1 (Low),Simple,0.1,0.6618142549132462,65.96678178175529
Llama 3.2 Instruct 90B (Vision),-1.01,Q1 (Low),Medium,0.45,0.6874703916165456,66.54039667233701
Llama 3.2 Instruct 90B (Vision),-1.01,Q1 (Low),Complex,0.75,0.7094613659336593,67.02821304480204
Llama 3.2 Instruct 11B (Vision),-1.217,Q1 (Low),Simple,0.1,0.6310248815734321,65.27218146446727
Llama 3.2 Instruct 11B (Vision),-1.217,Q1 (Low),Medium,0.45,0.6377705481102668,65.42493162315024
Llama 3.2 Instruct 11B (Vision),-1.217,Q1 (Low),Complex,0.75,0.6435525479989823,65.55560768380732
Command-R+,-1.398,Q1 (Low),Simple,0.1,0.6041027725178457,64.65943940078976
Command-R+,-1.398,Q1 (Low),Medium,0.45,0.5943131970250667,64.43541802604396
Command-R+,-1.398,Q1 (Low),Complex,0.75,0.5859221323169703,64.24289474654236
Mistral 7B Instruct,-1.687,Q1 (Low),Simple,0.1,0.561116642589313,63.671087044200014
Mistral 7B Instruct,-1.687,Q1 (Low),Medium,0.45,0.5249254928061559,62.82987880947972
Mistral 7B Instruct,-1.687,Q1 (Low),Complex,0.75,0.4939045072777355,62.10258021652949
