source,reasoning_score,dataset,complexity_level
Winogrande,0.0117,Original,Simple
ARC-Easy,0.2303,Original,Simple
ARC-Easy,0.5913,Original,Medium
ARC-Easy,0.0262,Original,Simple
LiveBench-InstructFollow,0.0038,LiveBench,Simple
HellaSwag,0.0182,Original,Simple
MMLU-high_school_physics,0.1153,Original,Simple
GSM8K,0.6412,Original,Complex
Winogrande,0.0095,Original,Simple
ARC-Challenge,0.3243,Original,Medium
LiveBench-Reasoning,0.4875,LiveBench,Medium
ARC-Easy,0.019,Original,Simple
LiveBench-Coding,0.1251,LiveBench,Simple
ARC-Challenge,0.0107,Original,Simple
ARC-Easy,0.0664,Original,Simple
LiveBench-Math,0.0758,LiveBench,Simple
GSM8K,0.732,Original,Complex
Winogrande,0.0176,Original,Simple
LiveBench-Language,0.1024,LiveBench,Simple
GSM8K,0.8125,Original,Complex
HellaSwag,0.1414,Original,Simple
GSM8K,0.7822,Original,Complex
HellaSwag,0.0689,Original,Simple
GSM8K,0.8642,Original,Complex
GSM8K,0.8434,Original,Complex
GSM8K,0.7855,Original,Complex
LiveBench-Reasoning,0.5493,LiveBench,Medium
LiveBench-Reasoning,0.4296,LiveBench,Medium
LiveBench-DataAnalysis,0.0182,LiveBench,Simple
HellaSwag,0.039,Original,Simple
ARC-Easy,0.1384,Original,Simple
ARC-Easy,0.0375,Original,Simple
MMLU-logical_fallacies,0.0168,Original,Simple
ARC-Easy,0.0363,Original,Simple
LiveBench-DataAnalysis,0.0142,LiveBench,Simple
LiveBench-Reasoning,0.5541,LiveBench,Medium
LiveBench-Language,0.1015,LiveBench,Simple
HellaSwag,0.0203,Original,Simple
ARC-Challenge,0.1236,Original,Simple
HellaSwag,0.1483,Original,Simple
GSM8K,0.813,Original,Complex
ARC-Easy,0.5905,Original,Medium
GSM8K,0.4751,Original,Medium
ARC-Easy,0.0167,Original,Simple
ARC-Easy,0.1077,Original,Simple
LiveBench-DataAnalysis,0.0386,LiveBench,Simple
GSM8K,0.8003,Original,Complex
GSM8K,0.7363,Original,Complex
HellaSwag,0.0169,Original,Simple
LiveBench-Reasoning,0.5964,LiveBench,Medium
LiveBench-Math,0.543,LiveBench,Medium
LiveBench-Reasoning,0.5401,LiveBench,Medium
MMLU-logical_fallacies,0.0117,Original,Simple
ARC-Challenge,0.0729,Original,Simple
GSM8K,0.8182,Original,Complex
MMLU-philosophy,0.0451,Original,Simple
HellaSwag,0.0451,Original,Simple
LiveBench-Coding,0.1478,LiveBench,Simple
LiveBench-DataAnalysis,0.0243,LiveBench,Simple
MMLU-college_physics,0.0322,Original,Simple
GSM8K,0.8111,Original,Complex
HellaSwag,0.0205,Original,Simple
HellaSwag,0.0254,Original,Simple
HellaSwag,0.0103,Original,Simple
LiveBench-Math,0.5197,LiveBench,Medium
LiveBench-Coding,0.1903,LiveBench,Simple
LiveBench-Math,0.4645,LiveBench,Medium
GSM8K,0.628,Original,Complex
LiveBench-InstructFollow,0.0135,LiveBench,Simple
LiveBench-Math,0.3553,LiveBench,Medium
LiveBench-Reasoning,0.5104,LiveBench,Medium
HellaSwag,0.0165,Original,Simple
LiveBench-Math,0.3105,LiveBench,Medium
GSM8K,0.8069,Original,Complex
MMLU-formal_logic,0.0998,Original,Simple
ARC-Challenge,0.4844,Original,Medium
ARC-Easy,0.7248,Original,Complex
