name,openrouter_id,crs,crs_quartile
Gemini 3 Pro Preview (high),google/gemini-3-pro-preview,1.829,Q4 (High)
o4-mini (high),openai/o4-mini,1.401,Q4 (High)
DeepSeek V3.1 Terminus (Reasoning),deepseek/deepseek-v3.1-terminus,1.302,Q4 (High)
Gemini 2.5 Flash Preview (Reasoning),google/gemini-2.5-flash-preview-09-2025,1.092,Q4 (High)
Qwen3 32B (Reasoning),qwen/qwen3-32b,0.883,Q4 (High)
Claude 4.5 Haiku (Reasoning),anthropic/claude-haiku-4.5,0.874,Q3 (Mid-High)
Kimi K2,moonshotai/kimi-k2-0905,0.658,Q3 (Mid-High)
Gemini 2.5 Flash-Lite (Reasoning),google/gemini-2.5-flash-lite,0.497,Q3 (Mid-High)
DeepSeek R1 Distill Llama 70B,deepseek/deepseek-r1-distill-llama-70b,0.26,Q3 (Mid-High)
GPT-4.1,openai/gpt-4.1,0.011,Q3 (Mid-High)
Llama 4 Maverick,meta-llama/llama-4-maverick,-0.216,Q2 (Mid-Low)
Llama 4 Scout,meta-llama/llama-4-scout,-0.477,Q2 (Mid-Low)
Llama 3.3 Instruct 70B,meta-llama/llama-3.3-70b-instruct,-0.628,Q2 (Mid-Low)
GPT-4o,openai/gpt-4o,-0.776,Q2 (Mid-Low)
Nova Lite,amazon/nova-lite-v1,-0.9,Q2 (Mid-Low)
Llama 3.1 Instruct 70B,meta-llama/llama-3.1-70b-instruct,-0.913,Q1 (Low)
Llama 3.2 Instruct 90B (Vision),meta-llama/llama-3.2-90b-vision-instruct,-1.01,Q1 (Low)
Llama 3.2 Instruct 11B (Vision),meta-llama/llama-3.2-11b-vision-instruct,-1.217,Q1 (Low)
Command-R+,cohere/command-r-plus-08-2024,-1.398,Q1 (Low)
Mistral 7B Instruct,mistralai/mistral-7b-instruct,-1.687,Q1 (Low)
