model,ccr_mean,ccr_sd,ccr_hdi_low,ccr_hdi_high,n_benchmarks
Claude 3.5 Haiku,,,,,1
o3-mini (high),,,,,1
Claude 3.5 Sonnet,,,,,1
DeepSeek V3.1 Terminus (Reasoning),,,,,1
DeepSeek R1,,,,,1
Claude 3.7 Sonnet (Reasoning),,,,,1
o3,,,,,1
Gemini 1.5 Pro,,,,,1
DeepSeek V3.1 (Reasoning),,,,,1
Llama 3.3 Nemotron Super 49B v1 (Reasoning),,,,,1
GLM-4.5 (Reasoning),,,,,1
Mistral Medium,,,,,1
Grok 3,,,,,1
Claude Opus 4.5 (Reasoning),,,,,1
Gemini 2.5 Pro,,,,,1
Grok 2,,,,,1
Gemma 3 27B Instruct,,,,,1
Gemma 3 12B Instruct,,,,,1
gpt-oss-20B (high),,,,,1
GPT-4.1,,,,,1
Command A,,,,,1
Mistral Small 3.2,,,,,1
Kimi K2,,,,,1
Llama 3.1 Instruct 405B,,,,,1
GPT-5 (high),,,,,1
GPT-5.1 (high),,,,,1
o1,,,,,1
Mistral Large,,,,,1
Grok 4,,,,,1
GPT-4.1 nano,,,,,1
DeepSeek V3 0324,,,,,1
GPT-4 Turbo,,,,,1
Claude 3 Opus,,,,,1
Gemini 2.0 Flash-Lite,,,,,1
o4-mini (high),,,,,1
GPT-4o,,,,,1
Claude 4.5 Sonnet (Reasoning),,,,,1
Llama 4 Maverick,,,,,1
Llama 3.3 Instruct 70B,,,,,1
GPT-4.1 mini,,,,,1
Claude 4.5 Haiku (Reasoning),,,,,1
Claude 4 Sonnet (Reasoning),,,,,1
Llama 4 Scout,,,,,1
Qwen3 32B (Reasoning),,,,,1
GPT-4o mini,,,,,1
Qwen3 235B A22B (Reasoning),,,,,1
Gemini 2.0 Flash,,,,,1
Kimi K2 Thinking,,,,,1
Gemini 2.5 Flash Preview (Reasoning),,,,,1
QwQ 32B,,,,,1
Gemini 3 Pro Preview (high),,,,,1
gpt-oss-120B (high),,,,,1
Gemini 2.5 Flash-Lite (Reasoning),,,,,1
MiniMax-M2,,,,,1
Grok 3 mini Reasoning (high),,,,,1
