model,ccs_mean,ccs_sd,ccs_hdi_low,ccs_hdi_high,ccs_100,ccs_100_hdi_low,ccs_100_hdi_high
Gemini 3 Pro Preview (high),2.089,0.209,1.671,2.5,100.0,89.404309252218,110.41825095057034
Claude Opus 4.5 (Reasoning),1.89,0.199,1.506,2.27,94.95564005069707,85.22179974651458,104.58808618504436
GPT-5.1 (high),1.861,0.198,1.482,2.248,94.22053231939162,84.61343472750316,104.03041825095056
Kimi K2 Thinking,1.73,0.195,1.335,2.105,90.89987325728771,80.8871989860583,100.40557667934094
Grok 4,1.652,0.19,1.292,2.035,88.92268694550063,79.79721166032952,98.63117870722434
o3,1.622,0.188,1.235,1.974,88.16223067173638,78.35234474017744,97.084917617237
Claude 4.5 Sonnet (Reasoning),1.463,0.185,1.093,1.827,84.1318124207858,74.75285171102661,93.35868187579213
gpt-oss-120B (high),1.444,0.184,1.085,1.806,83.65019011406844,74.55006337135613,92.82636248415716
o4-mini (high),1.427,0.182,1.076,1.785,83.2192648922687,74.32192648922687,92.29404309252217
Gemini 2.5 Pro,1.374,0.179,1.042,1.741,81.87579214195185,73.46007604562737,91.17870722433462
DeepSeek V3.1 Terminus (Reasoning),1.28,0.176,0.94,1.639,79.49302915082383,70.87452471482891,88.5931558935361
Grok 3 mini Reasoning (high),1.192,0.171,0.859,1.542,77.26235741444867,68.82129277566538,86.13434727503169
Claude 4 Sonnet (Reasoning),1.14,0.173,0.791,1.47,75.94423320659061,67.09759188846641,84.30925221799747
DeepSeek V3.1 (Reasoning),1.102,0.174,0.765,1.443,74.9809885931559,66.43852978453738,83.62484157160964
Gemini 2.5 Flash Preview (Reasoning),1.085,0.168,0.752,1.414,74.55006337135613,66.10899873257287,82.88973384030417
Claude 4.5 Haiku (Reasoning),1.049,0.168,0.735,1.394,73.63751584283904,65.67807351077313,82.382762991128
Claude 4 Opus (Reasoning),1.029,0.165,0.718,1.372,73.13054499366285,65.24714828897338,81.82509505703422
gpt-oss-20B (high),0.995,0.167,0.673,1.332,72.26869455006336,64.10646387832699,80.81115335868188
o3-mini (high),0.939,0.166,0.62,1.279,70.84917617237008,62.762991128010135,79.46768060836501
GLM-4.5 (Reasoning),0.924,0.162,0.614,1.261,70.46894803548797,62.61089987325729,79.01140684410646
Kimi K2 0905,0.801,0.161,0.471,1.108,67.3510773130545,58.986058301647645,75.13307984790875
GLM-4.5-Air,0.766,0.164,0.444,1.105,66.4638783269962,58.30164765525983,75.05703422053233
Claude 3.7 Sonnet (Reasoning),0.748,0.166,0.418,1.077,66.00760456273764,57.6425855513308,74.34727503168567
o1,0.733,0.161,0.415,1.053,65.62737642585552,57.566539923954366,73.73891001267427
Kimi K2,0.688,0.16,0.344,0.991,64.48669201520913,55.766793409378955,72.16730038022813
DeepSeek R1,0.548,0.157,0.232,0.855,60.93789607097592,52.9277566539924,68.71989860583017
Grok 3,0.501,0.163,0.172,0.809,59.746514575411915,51.40684410646388,67.55386565272497
Qwen3 235B A22B (Reasoning),0.474,0.166,0.16,0.816,59.062103929024076,51.10266159695818,67.73130544993663
GPT-4.1,0.423,0.157,0.107,0.726,57.76932826362483,49.759188846641315,65.44993662864384
GPT-5 (ChatGPT),0.42,0.153,0.129,0.737,57.69328263624842,50.31685678073511,65.72877059569075
GPT-4.1 mini,0.412,0.156,0.095,0.717,57.49049429657796,49.455006337135615,65.22179974651458
DeepSeek V3 0324,0.312,0.157,-0.008,0.618,54.955640050697085,46.844106463878326,62.71229404309252
QwQ 32B,0.3,0.172,-0.028,0.644,54.651457541191384,46.33713561470215,63.371356147021544
Gemini 2.5 Flash-Lite (Reasoning),0.293,0.153,-0.0,0.602,54.47401774397972,47.046894803548795,62.30671736375159
Qwen3 32B (Reasoning),0.281,0.157,-0.029,0.595,54.169835234474014,46.31178707224335,62.12927756653992
Qwen3 14B (Reasoning),0.127,0.154,-0.167,0.445,50.26615969581749,42.81368821292775,58.32699619771863
Llama 4 Maverick,0.052,0.154,-0.239,0.373,48.365019011406844,40.98859315589353,56.50190114068441
Llama 3.3 Nemotron Super 49B v1 (Reasoning),-0.061,0.167,-0.407,0.24,45.50063371356147,36.73003802281369,53.130544993662866
Gemini 2.0 Flash,-0.078,0.158,-0.398,0.222,45.06970849176172,36.95817490494297,52.67427122940431
DeepSeek R1 Distill Qwen 32B,-0.131,0.159,-0.441,0.186,43.72623574144486,35.868187579214194,51.761723700887195
DeepSeek R1 0528 Qwen3 8B,-0.139,0.16,-0.435,0.198,43.5234474017744,36.02027883396705,52.06590621039291
Claude 3.5 Sonnet,-0.19,0.161,-0.495,0.138,42.23067173637516,34.49936628643853,50.54499366286439
DeepSeek R1 Distill Llama 70B,-0.285,0.156,-0.581,0.03,39.822560202788345,32.31939163498099,47.80735107731305
Qwen3 8B (Reasoning),-0.321,0.158,-0.623,-0.0,38.91001267427123,31.254752851711025,47.046894803548795
Qwen2.5 Instruct 72B,-0.345,0.158,-0.666,-0.035,38.30164765525982,30.16476552598225,46.1596958174905
Llama 3.1 Instruct 405B,-0.35,0.158,-0.662,-0.029,38.17490494296578,30.266159695817485,46.31178707224335
Mistral Small 3.2,-0.355,0.163,-0.713,-0.057,38.048162230671736,28.973384030418252,45.60202788339671
GPT-4o,-0.374,0.161,-0.684,-0.041,37.56653992395437,29.708491761723703,46.00760456273764
Llama 3.3 Instruct 70B,-0.387,0.159,-0.704,-0.076,37.23700887198986,29.20152091254753,45.12040557667934
GPT-4.1 nano,-0.407,0.155,-0.718,-0.112,36.73003802281369,28.84664131812421,44.20785804816223
Ministral 8B,-0.425,0.165,-0.756,-0.11,36.27376425855513,27.883396704689478,44.258555133079845
Llama 4 Scout,-0.427,0.164,-0.779,-0.135,36.22306717363751,27.300380228136877,43.62484157160963
Command A,-0.429,0.159,-0.733,-0.102,36.172370088719894,28.466413181242086,44.461343472750315
Gemini 2.0 Flash-Lite,-0.499,0.167,-0.831,-0.178,34.3979721166033,25.98225602027884,42.534854245880865
GPT-4 Turbo,-0.517,0.163,-0.833,-0.186,33.94169835234474,25.93155893536122,42.33206590621039
Pixtral Large,-0.52,0.161,-0.84,-0.201,33.865652724968314,25.754119138149555,41.95183776932826
Nova Pro,-0.58,0.163,-0.911,-0.26,32.3447401774398,23.954372623574145,40.456273764258555
Phi-4,-0.65,0.164,-0.947,-0.302,30.570342205323193,23.041825095057035,39.39163498098859
Llama 3.1 Instruct 70B,-0.654,0.163,-0.972,-0.325,30.46894803548796,22.40811153358682,38.80861850443599
Claude 3.5 Haiku,-0.698,0.173,-1.032,-0.349,29.35361216730038,20.8871989860583,38.20025348542459
GPT-4o mini,-0.72,0.166,-1.046,-0.39,28.795944233206594,20.53231939163498,37.160963244613434
Claude 3 Opus,-0.723,0.17,-1.054,-0.389,28.719898605830164,20.329531051964512,37.18631178707224
Mistral Small 3,-0.727,0.166,-1.045,-0.389,28.61850443599493,20.557667934093793,37.18631178707224
Gemma 3 27B Instruct,-0.763,0.174,-1.106,-0.431,27.70595690747782,19.011406844106464,36.12167300380228
Ministral 3B,-0.774,0.171,-1.124,-0.46,27.427122940430927,18.555133079847906,35.38656527249683
Nova Lite,-0.82,0.179,-1.184,-0.491,26.261089987325725,17.034220532319395,34.60076045627377
Llama 3.2 Instruct 90B (Vision),-0.843,0.168,-1.177,-0.518,25.67807351077313,17.211660329531053,33.91634980988593
Gemma 3 12B Instruct,-0.862,0.177,-1.212,-0.524,25.19645120405577,16.324461343472752,33.76425855513308
Nova Micro,-1.034,0.187,-1.412,-0.677,20.836501901140682,11.25475285171103,29.885931558935358
Llama 3.1 Instruct 8B,-1.04,0.181,-1.413,-0.69,20.684410646387832,11.229404309252217,29.556400506970853
Llama 3.2 Instruct 11B (Vision),-1.119,0.183,-1.463,-0.754,18.681875792141952,9.961977186311787,27.934093789607097
Llama 3 Instruct 70B,-1.123,0.183,-1.473,-0.753,18.580481622306717,9.7084917617237,27.95944233206591
Mistral Large,-1.173,0.186,-1.535,-0.807,17.313054499366288,8.13688212927757,26.590621039290234
Gemma 3 4B Instruct,-1.181,0.187,-1.549,-0.823,17.110266159695815,7.782002534854248,26.185044359949305
Mixtral 8x22B Instruct,-1.216,0.187,-1.582,-0.855,16.223067173637517,6.945500633713561,25.373891001267427
Llama 3.2 Instruct 3B,-1.364,0.195,-1.746,-0.978,12.47148288973384,2.7883396704689503,22.25602027883397
GPT-3.5 Turbo,-1.467,0.207,-1.878,-1.057,9.860583016476552,-0.5576679340937845,20.25348542458809
Llama 3 Instruct 8B,-1.494,0.196,-1.866,-1.097,9.176172370088722,-0.25348542458808637,19.239543726235745
Llama 3.2 Instruct 1B,-1.531,0.211,-1.967,-1.142,8.238276299112805,-2.8136882129277563,18.09885931558936
Command-R+,-1.549,0.199,-1.912,-1.14,7.782002534854248,-1.4195183776932783,18.149556400506974
Mixtral 8x7B Instruct,-1.765,0.207,-2.163,-1.36,2.306717363751589,-7.782002534854238,12.572877059569073
Command-R,-1.802,0.21,-2.203,-1.382,1.3688212927756664,-8.795944233206583,12.01520912547529
Mistral 7B Instruct,-1.856,0.213,-2.274,-1.431,0.0,-10.595690747782,10.773130544993663
