model,cfs_mean,cfs_sd,cfs_hdi_low,cfs_hdi_high,cfs_100,cfs_100_hdi_low,cfs_100_hdi_high
Gemini 3 Pro Preview (high),1.45,0.277,0.962,1.961,100.0,88.02160039273443,112.54295532646049
Claude Opus 4.5 (Reasoning),1.345,0.241,0.935,1.848,97.42268041237114,87.35886107020129,109.76926853215514
GPT-5.1 (high),1.272,0.271,0.798,1.786,95.63082965144821,83.99607265586648,108.24742268041238
Grok 4,1.27,0.281,0.757,1.778,95.58173784977909,82.9896907216495,108.0510554737359
Claude 4.5 Sonnet (Reasoning),1.202,0.224,0.795,1.647,93.91261659302897,83.9224349533628,104.83554246440845
Gemini 2.5 Pro,1.18,0.246,0.726,1.647,93.37260677466864,82.22876779577811,104.83554246440845
Kimi K2 Thinking,1.116,0.257,0.677,1.594,91.80166912125675,81.02601865488465,103.53460972017675
o3,1.11,0.237,0.676,1.557,91.65439371624939,81.00147275405008,102.626411389298
Claude 4 Opus (Reasoning),1.108,0.207,0.715,1.532,91.60530191458027,81.95876288659794,102.01276386843399
DeepSeek V3.1 Terminus (Reasoning),1.019,0.219,0.634,1.466,89.42071674030436,79.97054491899853,100.39273441335297
Gemini 2.5 Flash Preview (Reasoning),0.99,0.22,0.576,1.425,88.70888561610211,78.54688267059402,99.386352479136
DeepSeek V3.1 (Reasoning),0.99,0.209,0.594,1.424,88.70888561610211,78.9887088856161,99.36180657830143
Claude 4 Sonnet (Reasoning),0.951,0.207,0.568,1.371,87.75159548355425,78.35051546391753,98.06087383406972
GLM-4.5 (Reasoning),0.941,0.218,0.541,1.378,87.50613647520863,77.68777614138439,98.23269513991163
Grok 3 mini Reasoning (high),0.938,0.23,0.561,1.409,87.43249877270497,78.1786941580756,98.99361806578302
o4-mini (high),0.936,0.221,0.55,1.393,87.38340697103584,77.90868924889544,98.60088365243006
Claude 3.7 Sonnet (Reasoning),0.923,0.209,0.54,1.34,87.06431026018655,77.66323024054984,97.29995090819834
o1,0.881,0.202,0.502,1.315,86.033382425135,76.73048600883654,96.68630338733432
