model,ccs_mean,ccs_sd,ccs_hdi_low,ccs_hdi_high,n_benchmarks,ccs_100,ccs_100_hdi_low,ccs_100_hdi_high
Gemini 3 Pro Preview (high),2.1251316087595216,0.10066447538481837,1.9278292370052776,2.3224339805137655,2,100.0,95.2850856414029,104.7149143585971
GPT-5.1 (high),1.6200435648705014,0.19023472529044386,1.2471835033012315,1.9929036264397713,2,87.92996328774827,79.01976498445528,96.84016159104128
Grok 4,1.5769015263136488,0.05649522717956932,1.466170881041693,1.6876321715856046,2,86.89900245721037,84.25288368688071,89.54512122754004
Kimi K2 Thinking,1.557156535039582,0.19496210741113418,1.175030804513759,1.939282265565405,2,86.42715844418233,77.29553940875707,95.5587774796076
GPT-5 (high),1.5557691442482395,0.17146640308829544,1.2196949941951805,1.8918432943012986,2,86.39400411002546,78.36287492718834,94.42513329286255
Claude Opus 4.5 (Reasoning),1.5303045794355066,0.2204061930703355,1.098308441017649,1.9623007178533642,3,85.78548004007394,75.46211302844019,96.10884705170766
gpt-oss-120B (high),1.5100123286178138,0.3267669197054232,0.8695491659951843,2.150475491240443,2,85.30055822236882,69.99547630797979,100.60564013675788
o4-mini (high),1.4440026287115604,0.1971235416393394,1.057640487098455,1.8303647703246657,3,83.72313125518396,74.49027514244048,92.95598736792743
MiniMax-M2,1.3017291375969169,0.33421541564410817,0.6466669229344649,1.9567913522593687,2,80.32323636218331,64.6692824120835,95.97719031228313
Gemini 2.5 Pro,1.2601982217809584,0.15420065058678836,0.9579649466308533,1.5624314969310635,3,79.33077636504626,72.10833906750574,86.55321366258678
o3,1.2311389949950187,0.16793913487530976,0.9019782906394116,1.5602996993506257,3,78.6363510299397,70.77043174344841,86.50227031643104
DeepSeek V3.1 Terminus (Reasoning),1.1864364034979717,0.17209932300297717,0.8491217304121366,1.523751076583807,3,77.56809782729471,69.50732399392754,85.62887166066187
Claude 4.5 Sonnet (Reasoning),1.1851669206981659,0.10061269481948128,0.9879660388519825,1.382367802544349,3,77.53776112820904,72.82527206344149,82.25025019297661
DeepSeek V3.1 (Reasoning),1.135247120557071,0.16671751356276424,0.8084807939740533,1.462013447140089,3,76.3448328305365,68.53613174187785,84.15353391919517
