model,crs_mean,crs_sd,crs_hdi_low,crs_hdi_high,crs_100,crs_100_hdi_low,crs_100_hdi_high
Gemini 3 Pro Preview (high),1.829,0.28,1.313,2.4,100.0,85.32423208191126,116.2400455062571
Claude Opus 4.5 (Reasoning),1.623,0.236,1.16,2.093,94.1410693970421,80.97269624573379,107.5085324232082
GPT-5.1 (high),1.6,0.269,1.06,2.113,93.48691695108077,78.12855517633675,108.0773606370876
Grok 4,1.553,0.23,1.074,1.984,92.15017064846417,78.52673492605233,104.40841865756542
Kimi K2 Thinking,1.533,0.263,1.023,2.061,91.58134243458474,77.07622298065984,106.59840728100114
o4-mini (high),1.401,0.229,0.944,1.854,87.82707622298066,74.82935153583618,100.71103526734927
o3,1.391,0.225,0.96,1.839,87.54266211604096,75.2844141069397,100.28441410693969
Gemini 2.5 Pro,1.382,0.225,0.956,1.83,87.28668941979521,75.17064846416382,100.02844141069399
gpt-oss-120B (high),1.373,0.263,0.878,1.91,87.03071672354949,72.95221843003414,102.30375426621161
Claude 4.5 Sonnet (Reasoning),1.329,0.224,0.903,1.773,85.77929465301479,73.6632536973834,98.40728100113766
DeepSeek V3.1 Terminus (Reasoning),1.302,0.259,0.779,1.794,85.01137656427758,70.13651877133105,99.00455062571103
Grok 3 mini Reasoning (high),1.286,0.223,0.866,1.745,84.55631399317406,72.61092150170649,97.6109215017065
DeepSeek V3.1 (Reasoning),1.255,0.258,0.775,1.786,83.674630261661,70.02275312855518,98.77701934015927
o3-mini (high),1.12,0.256,0.615,1.617,79.83503981797499,65.47212741751991,93.97042093287827
GLM-4.5 (Reasoning),1.096,0.216,0.654,1.504,79.1524459613197,66.58134243458476,90.7565415244596
Gemini 2.5 Flash Preview (Reasoning),1.092,0.253,0.6,1.593,79.0386803185438,65.04550625711035,93.28782707622298
gpt-oss-20B (high),1.07,0.267,0.553,1.581,78.41296928327645,63.70875995449374,92.94653014789533
Qwen3 235B A22B (Reasoning),1.046,0.22,0.589,1.455,77.73037542662117,64.73265073947667,89.36291240045507
Claude 4 Sonnet (Reasoning),0.973,0.214,0.546,1.385,75.65415244596132,63.50967007963595,87.37201365187714
Claude 4 Opus (Reasoning),0.971,0.214,0.573,1.404,75.59726962457337,64.27758816837314,87.91240045506258
