model,css_mean,css_sd,css_hdi_low,css_hdi_high,css_100,css_100_hdi_low,css_100_hdi_high
Llama 3.1 Instruct 405B,0.472,0.881,-1.233,2.232,100.0,6.932314410480349,196.06986899563321
o3-mini (high),0.453,0.871,-1.312,2.172,98.96288209606988,2.6200873362445436,192.7947598253275
Gemini 2.5 Flash-Lite (Reasoning),0.452,0.893,-1.278,2.174,98.90829694323145,4.475982532751095,192.90393013100436
o1,0.423,0.859,-1.354,2.047,97.32532751091703,0.32751091703056795,185.971615720524
Mistral Small 3,0.414,0.873,-1.373,2.107,96.83406113537117,-0.7096069868995578,189.2467248908297
Qwen3 32B (Reasoning),0.375,0.872,-1.376,2.056,94.70524017467248,-0.8733624454148359,186.46288209606988
Nova Pro,0.355,0.841,-1.316,2.038,93.61353711790393,2.401746724890832,185.48034934497815
Mistral Large,0.343,0.844,-1.366,2.067,92.95851528384279,-0.32751091703056795,187.06331877729258
GPT-4.1,0.334,0.848,-1.378,2.014,92.46724890829695,-0.9825327510916918,184.17030567685586
Claude 3.5 Sonnet,0.33,0.848,-1.411,1.954,92.24890829694323,-2.783842794759822,180.8951965065502
GPT-4 Turbo,0.327,0.843,-1.316,2.02,92.08515283842794,2.401746724890832,184.49781659388645
Grok 3,0.317,0.843,-1.412,1.93,91.53930131004367,-2.8384279475982437,179.58515283842794
Mistral Small 3.2,0.309,0.848,-1.441,1.926,91.10262008733623,-4.421397379912662,179.36681222707423
Gemini 2.0 Flash,0.308,0.868,-1.458,1.966,91.04803493449782,-5.349344978165931,181.55021834061137
Claude 3.5 Haiku,0.302,0.85,-1.442,1.948,90.72052401746726,-4.475982532751083,180.56768558951964
Qwen2.5 Instruct 72B,0.301,0.852,-1.447,1.962,90.66593886462881,-4.748908296943229,181.33187772925763
DeepSeek V3 0324,0.298,0.845,-1.358,1.979,90.50218340611355,0.109170305676856,182.25982532751092
DeepSeek V3.1 Terminus (Reasoning),0.294,0.826,-1.345,1.933,90.28384279475983,0.818777292576426,179.74890829694323
Mixtral 8x22B Instruct,0.294,0.864,-1.511,1.951,90.28384279475983,-8.242358078602608,180.73144104803492
GLM-4.5-Air,0.292,0.842,-1.432,1.953,90.17467248908298,-3.930131004366803,180.84061135371178
Pixtral Large,0.289,0.827,-1.356,1.943,90.01091703056768,0.218340611353712,180.2947598253275
Gemini 2.5 Flash Preview (Reasoning),0.285,0.857,-1.429,1.962,89.79257641921397,-3.7663755458515253,181.33187772925763
Qwen3 14B (Reasoning),0.28,0.853,-1.444,1.937,89.51965065502183,-4.585152838427939,179.96724890829694
Command-R+,0.28,0.822,-1.359,1.876,89.51965065502183,0.05458515283843405,176.63755458515283
DeepSeek V3.1 (Reasoning),0.271,0.841,-1.468,1.888,89.02838427947599,-5.895196506550211,177.292576419214
GPT-4.1 mini,0.271,0.84,-1.407,1.901,89.02838427947599,-2.56550218340611,178.00218340611355
Nova Lite,0.27,0.842,-1.496,1.847,88.97379912663756,-7.423580786026195,175.0545851528384
o4-mini (high),0.265,0.874,-1.522,1.951,88.7008733624454,-8.842794759825324,180.73144104803492
Qwen3 8B (Reasoning),0.261,0.859,-1.354,2.098,88.4825327510917,0.32751091703056795,188.75545851528383
Claude 3 Opus,0.256,0.853,-1.392,1.973,88.20960698689957,-1.7467248908296837,181.93231441048033
GPT-4o,0.243,0.836,-1.547,1.79,87.50000000000001,-10.207423580786017,171.94323144104803
Llama 3.2 Instruct 90B (Vision),0.23,0.827,-1.406,1.896,86.79039301310044,-2.5109170305676756,177.7292576419214
Claude 4.5 Haiku (Reasoning),0.226,0.871,-1.541,1.908,86.57205240174673,-9.879912663755448,178.3842794759825
Grok 3 mini Reasoning (high),0.223,0.829,-1.431,1.874,86.40829694323145,-3.8755458515283814,176.52838427947597
Llama 3.3 Instruct 70B,0.215,0.834,-1.494,1.831,85.97161572052401,-7.314410480349339,174.18122270742356
Command A,0.215,0.829,-1.399,1.897,85.97161572052401,-2.1288209606986856,177.78384279475983
Gemma 3 27B Instruct,0.204,0.827,-1.453,1.872,85.37117903930131,-5.076419213973797,176.41921397379915
DeepSeek R1 Distill Qwen 32B,0.198,0.836,-1.482,1.827,85.04366812227074,-6.659388646288203,173.96288209606988
Claude 4 Sonnet (Reasoning),0.19,0.851,-1.498,1.877,84.60698689956332,-7.532751091703051,176.69213973799128
GPT-4o mini,0.178,0.851,-1.458,1.9,83.95196506550218,-5.349344978165931,177.9475982532751
Kimi K2,0.163,0.877,-1.5,1.911,83.13318777292577,-7.641921397379907,178.5480349344978
Llama 3 Instruct 70B,0.147,0.853,-1.604,1.774,82.25982532751091,-13.318777292576419,171.0698689956332
gpt-oss-120B (high),0.145,0.83,-1.481,1.776,82.15065502183407,-6.604803493449782,171.17903930131004
Llama 3.1 Instruct 70B,0.124,0.836,-1.536,1.833,81.00436681222706,-9.606986899563315,174.29039301310044
Gemma 3 12B Instruct,0.107,0.85,-1.604,1.779,80.07641921397381,-13.318777292576419,171.34279475982532
Phi-4,0.097,0.848,-1.625,1.718,79.53056768558952,-14.4650655021834,168.01310043668124
