model,crs_mean,crs_sd,crs_hdi_low,crs_hdi_high,n_benchmarks,crs_100,crs_100_hdi_low,crs_100_hdi_high
Gemini 3 Pro Preview (high),2.078412495725526,0.7136692481501035,0.6796207693513234,3.477204222099729,4,100.0,63.83628054588576,136.16371945411424
Claude Opus 4.5 (Reasoning),1.75544367405793,0.3436157565939618,1.0819567911337649,2.4289305569820954,5,91.6501122797689,74.2380914400204,109.0621331195174
GPT-5 (high),1.6958343096260384,0.29182319932335116,1.1238608389522702,2.2678077802998065,5,90.1089991236733,75.32145946452844,104.89653878281811
Grok 4,1.6076053231716907,0.22735927157959,1.1619811508756943,2.0532294954676873,5,87.8279673920041,76.30700451738305,99.34893026662516
GPT-5.1 (high),1.5252700240987862,0.4221727186235111,0.6978114955967045,2.352728552600868,4,85.69930834955952,64.30657523536732,107.09204146375173
Gemini 2.5 Pro,1.4079422020761183,0.17968588648415318,1.0557578645671781,1.7601265395850585,5,82.6659686751905,73.56075641401989,91.77118093636112
o3,1.395187855559763,0.1436978948004825,1.1135399817508174,1.6768357293687086,5,82.33622365272485,75.0546287581968,89.61781854725291
Kimi K2 Thinking,1.392281895801175,0.2679851078745193,0.8670310843671171,1.9175327072352326,4,82.2610943025342,68.6815008365477,95.84068776852072
o4-mini (high),1.283821685952232,0.12502727208301828,1.0387682326695162,1.5288751392349478,5,79.45701380437559,73.12151426667869,85.79251334207251
Claude 4.5 Sonnet (Reasoning),1.263782796415044,0.11574784116179238,1.036917027737931,1.4906485650921573,5,78.93893754918263,73.07365406380812,84.80422103455713
gpt-oss-120B (high),1.1032364049136483,0.20482952325278972,0.7017705393381805,1.504702270489116,4,74.78824481047417,64.40893053564095,85.16755908530739
Grok 3 mini Reasoning (high),1.0762721913298914,0.17819465090718167,0.7270106755518153,1.4255337071079675,5,74.09112440508588,65.06147743579994,83.12077137437177
DeepSeek V3.1 Terminus (Reasoning),1.0488367920419195,0.10697353123708835,0.8391686708172263,1.2585049132666126,4,73.38182218070568,67.96115878137657,78.80248558003478
o3-mini (high),1.0364138552174906,0.15121560182520508,0.7400312756400886,1.3327964347948926,4,73.06064527234682,65.39810605594275,80.72318448875086
GLM-4.5 (Reasoning),1.0213016743050665,0.13895628962193532,0.7489473466460732,1.2936560019640597,5,72.66994188130421,65.62861806456692,79.7112656980415
Gemini 2.5 Flash Preview (Reasoning),0.9783696200399291,0.08196423911418124,0.8177197113761339,1.1390195287037244,4,71.55999624982863,67.40662722590265,75.71336527375462
Claude 4 Opus (Reasoning),0.9733915789534682,0.107386829350415,0.7629133934266548,1.1838697644802816,5,71.43129625976759,65.98968982967178,76.87290268986341
DeepSeek V3.1 (Reasoning),0.9492766293710962,0.11620274557919183,0.7215192480358803,1.1770340107063122,4,70.80783941847818,64.9195045885601,76.69617424839626
Claude 4 Sonnet (Reasoning),0.9067636718413112,0.15224140265909875,0.6083705226294778,1.2051568210531447,5,69.70872892169466,61.99420936051764,77.42324848287171
MiniMax-M2,0.8796109346510458,0.0864458654194553,0.7101770384289134,1.0490448308731781,4,69.00673451348828,64.62626830578674,73.38720072118984
Qwen3 235B A22B (Reasoning),0.8601468698830645,0.12807647422211585,0.6091169804077174,1.1111767593584116,5,68.50351951411841,62.01350793740197,74.99353109083485
o1,0.7410090568981929,0.22067716336040644,0.30848181671179625,1.1735362970845895,4,65.42338516393207,54.24102436250804,76.60574596535609
DeepSeek R1,0.7272743194967001,0.11746270651844645,0.49704741472054503,0.9575012242728551,5,65.06829356537722,59.11611280956496,71.02047432118948
GLM-4.5-Air,0.703831875746773,0.19752386617860265,0.3166850980367118,1.0909786534568342,5,64.46222338129863,54.45310823378343,74.47133852881383
Qwen3 32B (Reasoning),0.7015491011433492,0.18561586554210374,0.3377420046808259,1.0653561976058725,5,64.40320557415934,54.997503836138804,73.80890731217985
Kimi K2,0.6967273762576791,0.20808922916730033,0.2888724870897705,1.1045822654255877,5,64.2785469114274,53.734053752256884,74.82304007059793
Claude 3.7 Sonnet (Reasoning),0.678965504184862,0.13681082120074936,0.4108162946313933,0.9471147137383307,5,63.81933962094234,56.886732998174885,70.7519462437098
Kimi K2 0905,0.6203501077889074,0.25732622993979415,0.1159906971069109,1.124709518470904,4,62.30392405836278,49.26444728134136,75.3434008353842
gpt-oss-20B (high),0.6197820709461418,0.1823628498031478,0.26235088533197215,0.9772132565603114,4,62.28923829447525,53.0483764299232,71.53010015902727
Gemini 2.5 Flash-Lite (Reasoning),0.4928191571275776,0.20403621238192002,0.09290818085901442,0.8927301333961408,5,59.006797377904405,48.66768249774652,69.3459122580623
Llama 3.3 Nemotron Super 49B v1 (Reasoning),0.4547176583537577,0.16082806198740998,0.13949465685843415,0.7699406598490812,5,58.021738711587204,49.87210787189842,66.17136955127599
QwQ 32B,0.4542448721020814,0.27960704091942773,-0.09378492809999694,1.0022746723041598,5,58.00951551277569,43.84100452338458,72.17802650216679
GPT-5 (ChatGPT),0.45274154783160436,0.24026778250947692,-0.01818330588697037,0.9236664015501791,4,57.97064925689139,45.79557417406067,70.14572433972212
Claude 4.5 Haiku (Reasoning),0.43715187209576634,0.22836424991582707,-0.010442057739254718,0.8847458019307874,5,57.5676009337841,45.99571285157796,69.13948901599026
DeepSeek R1 Distill Qwen 32B,0.43680092668713094,0.20541888840235525,0.03417990541851468,0.8394219479557472,5,57.55852775222156,47.14934861214415,67.96770689229895
Qwen3 14B (Reasoning),0.4250619958791966,0.26793655029518676,-0.10009364269936949,0.9502176344577626,5,57.25503482155503,43.67790191090405,70.832167732206
DeepSeek R1 0528 Qwen3 8B,0.40939905965910106,0.189541105627038,0.037898492630106584,0.7808996266880955,5,56.85009245550353,47.24548725962832,66.45469765137875
DeepSeek V3 0324,0.33642697616981027,0.19806287535843822,-0.05177625953272863,0.7246302118723491,5,54.96350569241959,44.92707736472561,64.99993402011356
GPT-4.1 mini,0.28133208012260674,0.18810619735881973,-0.08735606670067991,0.6500202269458935,5,53.53910753046504,44.007213356101175,63.07100170482889
Grok 3,0.249152247285674,0.17872440885893245,-0.10114759407783361,0.5994520886491816,5,52.70714489810685,43.650653535573824,61.763636260639856
GPT-4.1,0.23582321136542223,0.20794517469506207,-0.17174933103689943,0.6433957537677439,5,52.36254211949072,41.82534862404207,62.89973561493938
DeepSeek R1 Distill Qwen 14B,0.21875790745999307,0.2595942474689582,-0.290046817579165,0.7275626324991511,5,51.92134358278302,38.766939688116686,65.07574747744935
Qwen3 8B (Reasoning),0.20847815096764827,0.3292354369556882,-0.4368233054655006,0.8537796074007971,5,51.655575475325456,34.97224771911254,68.33890323153838
Llama 4 Maverick,0.1481602714379157,0.24729564751820124,-0.3365391976977587,0.6328597405735901,5,50.09614469499443,37.564947025691495,62.627342364297355
DeepSeek R1 Distill Llama 70B,0.14581883176555085,0.27621811386968126,-0.3955686714190244,0.6872063349501262,5,50.03561018808137,36.0388260979439,64.03239427821885
Gemini 2.0 Flash,0.1389166405628095,0.23009076914946525,-0.31206126697014236,0.5898945480957614,5,49.85716410381576,38.19778821495511,61.51653999267642
Gemini 1.5 Pro,0.03182430150751208,0.18341369352141984,-0.3276665377944708,0.391315140809495,4,47.08844790950465,37.794336703585856,56.38255911542345
Gemini 2.0 Flash-Lite,-0.05529012945754192,0.1942213431621648,-0.4359639620553849,0.3253837031403011,4,44.836231384038705,34.9944647893255,54.677997978751904
Mistral Small 3.2,-0.08969631954718402,0.17189005941814944,-0.4266008360067569,0.2472081969123889,5,43.946709532839336,35.23653475388969,52.65688431178898
Llama 4 Scout,-0.09722654332635883,0.2119526049961182,-0.5126536491187506,0.31820056246603284,5,43.75202658251716,33.0117648092704,54.49228835576392
Qwen3 1.7B (Reasoning),-0.12503331778277005,0.25333311729886154,-0.6215662276885386,0.37149959212299855,5,43.0331229949387,30.195988977773723,55.87025701210367
Claude 3.5 Sonnet,-0.16896639882981032,0.18540188924770554,-0.5323541017553132,0.1944213040956925,4,41.89729727636779,32.50243834641347,51.292156206322105
GPT-4.1 nano,-0.18851930235108902,0.1599601151655573,-0.5020411280755813,0.1250025233734033,5,41.39178548063408,33.28613605873502,49.49743490253313
Phi-4,-0.21554547680425035,0.1874814455696082,-0.5830091101206825,0.1519181565121817,5,40.69306316735909,31.192827003329953,50.19329933138824
