DEBUG: ExplorationRate.get('balanced') -> 0.1
DEBUG: DisjointLinUCBPolicy initialized with alpha=0.1
Model ID                            | HLE   | $/1M (in)  | Lat(s)
----------------------------------------------------------------------
google/gemini-3-pro-preview         | 0.372 | $2.00      | 7.08s
anthropic/claude-opus-4.5           | 0.284 | $5.00      | 7.31s
openai/gpt-5.1                      | 0.265 | $1.25      | 2.02s
x-ai/grok-4                         | 0.239 | $3.00      | 15.87s
moonshotai/kimi-k2-thinking         | 0.223 | $0.60      | 6.61s
google/gemini-2.5-pro-preview-06-05 | 0.211 | $1.25      | 2.49s
openai/o3                           | 0.200 | $2.00      | 2.13s
openai/gpt-oss-120b                 | 0.185 | $0.15      | 5.17s
openai/o4-mini                      | 0.175 | $1.10      | 71.80s
anthropic/claude-sonnet-4.5         | 0.173 | $3.00      | 70.80s
deepseek/deepseek-v3.1-terminus     | 0.152 | $0.40      | 53.06s
deepseek/deepseek-chat-v3.1         | 0.130 | $0.42      | 43.92s
google/gemini-2.5-flash-preview-09-2025 | 0.127 | $0.30      | 1.26s
openai/o3-mini-high                 | 0.123 | $1.10      | 68.69s
z-ai/glm-4.5                        | 0.122 | $0.57      | 12.65s
anthropic/claude-opus-4             | 0.117 | $15.00     | 15.83s
qwen/qwen3-235b-a22b-2507           | 0.117 | $0.70      | 7.07s
x-ai/grok-3-mini                    | 0.111 | $0.30      | 7.21s
anthropic/claude-3.7-sonnet:thinking | 0.103 | $3.00      | 5.48s
openai/gpt-oss-20b                  | 0.098 | $0.07      | 4.42s
anthropic/claude-haiku-4.5          | 0.097 | $1.00      | 3.65s
anthropic/claude-sonnet-4           | 0.096 | $3.00      | 15.20s
deepseek/deepseek-r1                | 0.093 | $1.35      | 22.67s
qwen/qwen3-32b                      | 0.083 | $0.70      | 7.32s
qwen/qwq-32b                        | 0.082 | $0.43      | 10.36s
openai/o1                           | 0.077 | $15.00     | 1.56s
moonshotai/kimi-k2-0905             | 0.070 | $0.60      | 2.53s
z-ai/glm-4.5-air                    | 0.068 | $0.20      | 2.45s
google/gemini-2.5-flash-lite        | 0.064 | $0.10      | 1.23s
moonshotai/kimi-k2-0905:exacto      | 0.063 | $0.99      | 1.43s
deepseek/deepseek-r1-distill-llama-70b | 0.061 | $0.80      | 4.89s
openai/gpt-5-chat                   | 0.058 | $1.25      | 2.12s
deepseek/deepseek-r1-0528-qwen3-8b  | 0.056 | $0.06      | 9.25s
deepseek/deepseek-r1-distill-qwen-32b | 0.055 | $0.28      | 9.42s
mistralai/ministral-3b              | 0.053 | $0.10      | 1.05s
meta-llama/llama-3.2-1b-instruct    | 0.053 | $0.05      | 0.76s
google/gemini-2.0-flash-001         | 0.053 | $0.10      | 1.24s
google/gemma-3-4b-it                | 0.052 | $0.02      | 2.45s
meta-llama/llama-3.2-11b-vision-instruct | 0.052 | $0.16      | 7.39s
meta-llama/llama-3.2-3b-instruct    | 0.052 | $0.06      | 2.53s
deepseek/deepseek-chat-v3-0324      | 0.052 | $1.14      | 21.85s
x-ai/grok-3                         | 0.051 | $3.00      | 4.61s
